id	cufflinks_ath_buds_rep1
AT1G06250	8.5184
AT1G06260	74.1823
AT1G06265	7.45829
AT1G06270	7.06934
AT1G06280	11.5766
AT1G06290	35.1151
AT1G06310	0.51458
AT1G06320	0.477333
AT1G06330	0
AT1G06340	0.139847
AT1G06350	90.3384
AT1G06360	8.48545
AT1G06370	3.45386
AT1G06380	13.4927
AT1G06390	65.122
AT1G06400	87.5569
AT1G06410	70.9343
AT1G06420	40.5595
AT1G06430	36.4477
AT1G06440	2.81696
AT1G06450	12.1686
AT1G06460	99.3866
AT1G06470	22.3822
AT1G06475	5.27109
AT1G06480	0
AT1G06490	2.06889
AT1G06500	30.6499
AT1G06510	13.9303
AT1G06515	45.0998
AT1G06520	51.1366
AT1G06530	72.5301
AT1G06540	5.00808
AT1G06550	43.9875
AT1G06560	10.292
AT1G06570	37.1791
AT1G06580	3.11753
AT1G06590	6.98085
AT1G06610	0
AT1G06620	44.3712
AT1G06630	22.5819
AT1G06640	108.823
AT1G06645	4.50843
AT1G06650	23.3859
AT1G06660	7.93818
AT1G06670	20.0762
AT1G06680	1112.44
AT1G06690	16.8209
AT1G06700	70.3582
AT1G06710	5.56351
AT1G06720	17.3334
AT1G06730	11.0955
AT1G06740	4.30126
AT1G06750	5.06348
AT1G06760	305.761
AT1G06770	10.588
AT1G06780	11.5664
AT1G06790	12.3803
AT1G06800	5.85721
AT1G06810	0.363613
AT1G06820	18.8043
AT1G06830	4.64145
AT1G06840	11.1463
AT1G06850	11.8876
AT1G06860	0
AT1G06870	14.8388
AT1G06880	0
AT1G06890	70.3791
AT1G06900	19.2724
AT1G06910	6.58054
AT1G06920	1.38806
AT1G06923	0.0720795
AT1G06925	0
AT1G06930	0
AT1G06950	79.3758
AT1G06960	34.2089
AT1G06970	1.00179
AT1G06980	1.75829
AT1G06990	8.47234
AT1G07000	3.57127
AT1G07010	12.1921
AT1G07020	28.2227
AT1G07025	0
AT1G07030	18.9075
AT1G07040	75.9519
AT1G07050	56.7382
AT1G07051	0
AT1G07060	0.417961
AT1G07070	55.3523
AT1G07080	61.5069
AT1G07090	7.88551
AT1G07100	0
AT1G07110	31.9495
AT1G07119	4.35016
AT1G07120	1.23977
AT1G07128	1.72125
AT1G07130	5.29828
AT1G07135	81.3771
AT1G07140	109.001
AT1G07150	3.17989
AT1G07160	0.0891654
AT1G07170	55.7818
AT1G07175	0.997165
AT1G07180	3.77645
AT1G07190	0
AT1G07200	23.0717
AT1G07210	50.3079
AT1G07220	24.1982
AT1G07230	48.2606
AT1G07240	12.561
AT1G07250	24.985
AT1G07260	2.71713
AT1G07270	1.06763
AT1G07280	35.33
AT1G07290	1.16404
AT1G07300	6.10707
AT1G07310	46.2253
AT1G07320	244.239
AT1G07330	2.39034
AT1G07340	18.3866
AT1G07350	18.468
AT1G07360	39.1854
AT1G07370	26.2411
AT1G07380	5.36043
AT1G07390	3.27258
AT1G07400	4.09616
